Pose Partition Network for Multi-Person Pose Estimation [Train and Val Phase]
Loading training json file: dataset/mpi/jsons/MPI_MP_TRAIN_annotations.json...
Finished loading training json file
Loading validation json file: dataset/mpi/jsons/MPI_MP_VAL_annotations.json...
Finished loading evaluation json file
Epoch: [2][60/615] 	CurLR: 0.003 	Loss 0.094645 (0.103658)	BatchTime 1.917 (1.704) 	
Epoch: [2][70/615] 	CurLR: 0.003 	Loss 0.096244 (0.103791)	BatchTime 1.622 (1.692) 	
Epoch: [2][80/615] 	CurLR: 0.003 	Loss 0.092089 (0.101935)	BatchTime 1.582 (1.682) 	
Epoch: [2][90/615] 	CurLR: 0.003 	Loss 0.106243 (0.101538)	BatchTime 1.656 (1.677) 	
Epoch: [2][100/615] 	CurLR: 0.003 	Loss 0.108517 (0.102195)	BatchTime 1.554 (1.672) 	
Epoch: [2][110/615] 	CurLR: 0.003 	Loss 0.091050 (0.101743)	BatchTime 1.572 (1.667) 	
Epoch: [2][120/615] 	CurLR: 0.003 	Loss 0.090922 (0.100528)	BatchTime 1.606 (1.663) 	
Epoch: [2][130/615] 	CurLR: 0.003 	Loss 0.103409 (0.100459)	BatchTime 1.652 (1.659) 	
Epoch: [2][140/615] 	CurLR: 0.003 	Loss 0.104846 (0.100766)	BatchTime 1.867 (1.656) 	
Epoch: [2][150/615] 	CurLR: 0.003 	Loss 0.098356 (0.100634)	BatchTime 1.586 (1.651) 	
Epoch: [2][160/615] 	CurLR: 0.003 	Loss 0.084702 (0.100190)	BatchTime 1.563 (1.649) 	
Epoch: [2][170/615] 	CurLR: 0.003 	Loss 0.101843 (0.099418)	BatchTime 1.579 (1.648) 	
Epoch: [2][180/615] 	CurLR: 0.003 	Loss 0.101921 (0.099779)	BatchTime 1.580 (1.647) 	
Epoch: [2][190/615] 	CurLR: 0.003 	Loss 0.102014 (0.099767)	BatchTime 1.571 (1.646) 	
Epoch: [2][200/615] 	CurLR: 0.003 	Loss 0.090176 (0.099879)	BatchTime 1.620 (1.645) 	
Epoch: [2][210/615] 	CurLR: 0.003 	Loss 0.080161 (0.099253)	BatchTime 1.843 (1.643) 	
Epoch: [2][220/615] 	CurLR: 0.003 	Loss 0.091523 (0.098751)	BatchTime 1.673 (1.641) 	
Epoch: [2][230/615] 	CurLR: 0.003 	Loss 0.092407 (0.098381)	BatchTime 1.564 (1.639) 	
Epoch: [2][240/615] 	CurLR: 0.003 	Loss 0.091689 (0.098423)	BatchTime 1.563 (1.637) 	
Epoch: [2][250/615] 	CurLR: 0.003 	Loss 0.110995 (0.098390)	BatchTime 1.580 (1.637) 	
Epoch: [2][260/615] 	CurLR: 0.003 	Loss 0.083255 (0.098301)	BatchTime 1.557 (1.636) 	
Epoch: [2][270/615] 	CurLR: 0.003 	Loss 0.083687 (0.097830)	BatchTime 1.659 (1.636) 	
Epoch: [2][280/615] 	CurLR: 0.003 	Loss 0.085776 (0.097386)	BatchTime 1.607 (1.635) 	
Epoch: [2][290/615] 	CurLR: 0.003 	Loss 0.087885 (0.097060)	BatchTime 1.600 (1.633) 	
Epoch: [2][300/615] 	CurLR: 0.003 	Loss 0.100310 (0.097081)	BatchTime 1.591 (1.633) 	
Epoch: [2][310/615] 	CurLR: 0.003 	Loss 0.094174 (0.096992)	BatchTime 1.624 (1.632) 	
Epoch: [2][320/615] 	CurLR: 0.003 	Loss 0.082182 (0.096533)	BatchTime 1.615 (1.631) 	
Epoch: [2][330/615] 	CurLR: 0.003 	Loss 0.089263 (0.096253)	BatchTime 1.578 (1.631) 	
Epoch: [2][340/615] 	CurLR: 0.003 	Loss 0.095676 (0.096104)	BatchTime 1.560 (1.630) 	
Epoch: [2][350/615] 	CurLR: 0.003 	Loss 0.098023 (0.096005)	BatchTime 1.653 (1.630) 	
Epoch: [2][360/615] 	CurLR: 0.003 	Loss 0.101727 (0.096006)	BatchTime 1.566 (1.629) 	
Epoch: [2][370/615] 	CurLR: 0.003 	Loss 0.080804 (0.095838)	BatchTime 1.586 (1.629) 	
Epoch: [2][380/615] 	CurLR: 0.003 	Loss 0.090336 (0.095612)	BatchTime 1.554 (1.628) 	
Epoch: [2][390/615] 	CurLR: 0.003 	Loss 0.088498 (0.095377)	BatchTime 1.627 (1.628) 	
Epoch: [2][400/615] 	CurLR: 0.003 	Loss 0.084081 (0.095099)	BatchTime 1.572 (1.628) 	
Epoch: [2][410/615] 	CurLR: 0.003 	Loss 0.079677 (0.094813)	BatchTime 1.613 (1.627) 	
Epoch: [2][420/615] 	CurLR: 0.003 	Loss 0.087140 (0.094529)	BatchTime 1.608 (1.627) 	
Epoch: [2][430/615] 	CurLR: 0.003 	Loss 0.081974 (0.094353)	BatchTime 1.963 (1.627) 	
Epoch: [2][440/615] 	CurLR: 0.003 	Loss 0.086209 (0.094177)	BatchTime 1.567 (1.625) 	
Epoch: [2][450/615] 	CurLR: 0.003 	Loss 0.090774 (0.094163)	BatchTime 1.568 (1.625) 	
Epoch: [2][460/615] 	CurLR: 0.003 	Loss 0.073891 (0.093872)	BatchTime 1.564 (1.625) 	
Epoch: [2][470/615] 	CurLR: 0.003 	Loss 0.069591 (0.093478)	BatchTime 1.621 (1.625) 	
Epoch: [2][480/615] 	CurLR: 0.003 	Loss 0.081688 (0.093272)	BatchTime 1.589 (1.625) 	
